"","word"
"1","grandpa"
"2","you're"
"3","not"
"4","supposed"
"5","to"
"6","be"
"7","up"
"8","here"
"9","looking"
"10","at"
"11","that"
"12","i"
"13","just"
"14","wanted"
"15","to"
"16","know"
"17","well"
"18","you're"
"19","old"
"20","enough"
"21","i"
"22","suppose"
"23","you"
"24","should"
"25","know"
"26","the"
"27","story"
"28","ok"
"29","here"
"30","we"
"31","go"
"32","it"
"33","was"
"34","1832"
"35","on"
"36","a"
"37","night"
"38","much"
"39","like"
"40","this"
"41","charles"
"42","carroll"
"43","was"
"44","the"
"45","last"
"46","survivingsigner"
"47","of"
"48","the"
"49","declaration"
"50","of"
"51","independence"
"52","he"
"53","was"
"54","also"
"55","a"
"56","memberof"
"57","a"
"58","secret"
"59","society"
"60","known"
"61","as"
"62","the"
"63","masons"
"64","and"
"65","he"
"66","knew"
"67","he"
"68","was"
"69","dying"
"70","he"
"71","woke"
"72","up"
"73","his"
"74","stable"
"75","boyin"
"76","the"
"77","middle"
"78","of"
"79","the"
"80","night"
"81","and"
"82","ordered"
"83","him"
"84","to"
"85","take"
"86","him"
"87","tothe"
"88","white"
"89","house"
"90","to"
"91","see"
"92","andrew"
"93","jackson"
"94","because"
"95","it"
"96","was"
"97","urgentthat"
"98","he"
"99","speak"
"100","to"
"101","the"
"102","president"
"103","did"
"104","he"
"105","talk"
"106","to"
"107","him"
"108","no"
"109","he"
"110","never"
"111","got"
"112","the"
"113","chance"
"114","the"
"115","president"
"116","wasn't"
"117","there"
"118","that"
"119","night"
"120","but"
"121","charles"
"122","carroll"
"123","had"
"124","a"
"125","secret"
"126","so"
"127","he"
"128","took"
"129","into"
"130","his"
"131","confidencethe"
"132","one"
"133","person"
"134","he"
"135","could"
"136","my"
"137","grandfather's"
"138","grandfather"
"139","thomas"
"140","gates"
"141","what"
"142","was"
"143","the"
"144","secret"
"145","a"
"146","treasure"
"147","a"
"148","treasure"
"149","beyond"
"150","all"
"151","imagining"
"152","a"
"153","treasure"
"154","that"
"155","had"
"156","beenfought"
"157","over"
"158","for"
"159","centuries"
"160","by"
"161","tyrants"
"162","pharaohs"
"163","emperors"
"164","warlords"
"165","and"
"166","every"
"167","time"
"168","it"
"169","changed"
"170","handsit"
"171","grew"
"172","larger"
"173","and"
"174","then"
"175","suddenly"
"176","it"
"177","vanished"
"178","it"
"179","didn't"
"180","reappearfor"
"181","more"
"182","than"
"183","a"
"184","thousand"
"185","years"
"186","when"
"187","knights"
"188","from"
"189","the"
"190","first"
"191","crusade"
"192","discovered"
"193","secret"
"194","vaultsbeneath"
"195","the"
"196","temple"
"197","of"
"198","solomon"
"199","you"
"200","see"
"201","the"
"202","knights"
"203","who"
"204","found"
"205","the"
"206","vaults"
"207","believed"
"208","that"
"209","the"
"210","treasurewas"
"211","too"
"212","great"
"213","for"
"214","any"
"215","one"
"216","man"
"217","not"
"218","even"
"219","a"
"220","king"
"221","they"
"222","brought"
"223","the"
"224","treasure"
"225","back"
"226","to"
"227","europeand"
"228","took"
"229","the"
"230","name"
"231","the"
"232","knights"
"233","templar"
"234","over"
"235","the"
"236","next"
"237","centurythey"
"238","smuggled"
"239","it"
"240","out"
"241","of"
"242","europe"
"243","and"
"244","they"
"245","formed"
"246","a"
"247","new"
"248","brotherhoodcalled"
"249","the"
"250","freemasons"
"251","in"
"252","honour"
"253","ofthe"
"254","builders"
"255","of"
"256","the"
"257","great"
"258","temple"
"259","war"
"260","followed"
"261","by"
"262","the"
"263","time"
"264","of"
"265","the"
"266","american"
"267","revolutionthe"
"268","treasure"
"269","had"
"270","been"
"271","hidden"
"272","again"
"273","by"
"274","then"
"275","the"
"276","masons"
"277","included"
"278","george"
"279","washington"
"280","benjamin"
"281","franklin"
"282","paul"
"283","revere"
"284","they"
"285","knew"
"286","they"
"287","had"
"288","to"
"289","make"
"290","sure"
"291","the"
"292","treasure"
"293","would"
"294","never"
"295","fallinto"
"296","the"
"297","hands"
"298","of"
"299","the"
"300","british"
"301","so"
"302","they"
"303","devised"
"304","a"
"305","series"
"306","of"
"307","cluesand"
"308","maps"
"309","to"
"310","its"
"311","location"
"312","over"
"313","time"
"314","the"
"315","clues"
"316","were"
"317","lost"
"318","or"
"319","forgotten"
"320","until"
"321","only"
"322","one"
"323","remained"
"324","and"
"325","that"
"326","was"
"327","the"
"328","secret"
"329","that"
"330","charles"
"331","carrollentrusted"
"332","to"
"333","young"
"334","thomas"
"335","gates"
"336","charlotte"
"337","the"
"338","secret"
"339","lies"
"340","with"
"341","charlotte"
"342","who's"
"343","charlotte"
"344","oh"
"345","not"
"346","even"
"347","mr"
"348","carroll"
"349","knew"
"350","that"
"351","now"
"352","look"
"353","here"
"354","ben"
"355","the"
"356","freemasonsamong"
"357","our"
"358","founding"
"359","fathers"
"360","left"
"361","us"
"362","clues"
"363","like"
"364","these"
"365","the"
"366","unfinished"
"367","pyramid.the"
"368","all"
"369","seeing"
"370","eye"
"371","symbols"
"372","of"
"373","the"
"374","knights"
"375","templar"
"376","guardians"
"377","of"
"378","the"
"379","treasure"
"380","they're"
"381","speaking"
"382","to"
"383","us"
"384","through"
"385","these"
"386","you"
"387","mean"
"388","laughing"
"389","at"
"390","us"
"391","you"
"392","know"
"393","what"
"394","that"
"395","dollar"
"396","represents"
"397","the"
"398","entire"
"399","gates"
"400","family"
"401","fortune"
"402","six"
"403","generations"
"404","of"
"405","fools"
"406","chasing"
"407","after"
"408","fool's"
"409","gold"
"410","it's"
"411","not"
"412","about"
"413","the"
"414","money"
"415","patrick.it's"
"416","never"
"417","been"
"418","about"
"419","the"
"420","money"
"421","come"
"422","on"
"423","son"
"424","time"
"425","to"
"426","go"
"427","you"
"428","can"
"429","say"
"430","your"
"431","goodbyes"
"432","grandpa"
"433","are"
"434","we"
"435","knights"
"436","do"
"437","you"
"438","want"
"439","to"
"440","be"
"441","all"
"442","right"
"443","um"
"444","kneel"
"445","benjamin"
"446","franklin"
"447","gates"
"448","you"
"449","take"
"450","upon"
"451","yourself"
"452","the"
"453","dutyof"
"454","the"
"455","templars"
"456","the"
"457","freemasons"
"458","and"
"459","the"
"460","family"
"461","gates"
"462","do"
"463","you"
"464","so"
"465","swear"
"466","i"
"467","so"
"468","swear"
"469","i"
"470","was"
"471","thinking"
"472","abouthenson"
"473","and"
"474","peary"
"475","crossing"
"476","this"
"477","kind"
"478","of"
"479","terrain"
"480","with"
"481","nothingmore"
"482","than"
"483","dog"
"484","sleds"
"485","and"
"486","on"
"487","foot"
"488","can"
"489","you"
"490","imagine"
"491","it's"
"492","extraordinary"
"493","we"
"494","getting"
"495","closer"
"496","assuming"
"497","ben's"
"498","theory's"
"499","correctand"
"500","my"
"501","tracking"
"502","model's"
"503","accurate"
"504","we"
"505","should"
"506","be"
"507","getting"
"508","very"
"509","close"
"510","but"
"511","don't"
"512","go"
"513","by"
"514","me"
"515","i"
"516","broke"
"517","a"
"518","shoelace"
"519","this"
"520","morning"
"521","it's"
"522","it's"
"523","a"
"524","bad"
"525","omen"
"526","shall"
"527","we"
"528","turn"
"529","around"
"530","and"
"531","go"
"532","home"
"533","or"
"534","we"
"535","could"
"536","pull"
"537","overand"
"538","just"
"539","throw"
"540","him"
"541","out"
"542","here"
"543","ok"
"544","riley"
"545","you're"
"546","not"
"547","missing"
"548","that"
"549","littlewindowless"
"550","cubicle"
"551","we"
"552","found"
"553","you"
"554","in"
"555","no"
"556","no"
"557","absolutely"
"558","not"
"559","why"
"560","are"
"561","we"
"562","stopping"
"563","i"
"564","thought"
"565","we"
"566","were"
"567","looking"
"568","for"
"569","a"
"570","ship"
"571","i"
"572","don't"
"573","see"
"574","any"
"575","ship"
"576","she's"
"577","out"
"578","there"
"579","look"
"580","this"
"581","is"
"582","a"
"583","waste"
"584","of"
"585","time"
"586","how"
"587","could"
"588","a"
"589","ship"
"590","wind"
"591","up"
"592","way"
"593","out"
"594","here"
"595","well"
"596","i'm"
"597","no"
"598","expert"
"599","but"
"600","it"
"601","could"
"602","be"
"603","that"
"604","the"
"605","hydrothermic"
"606","propertiesof"
"607","this"
"608","region"
"609","produce"
"610","hurricane"
"611","force"
"612","ice"
"613","storms"
"614","that"
"615","cause"
"616","the"
